BRANCH                                                     SHA                                        AHEAD  BEHIND  INTIP LASTCOMMIT
codex/qimmah-executive-dashboard-001                       109145178bc2a081f109ab32a30d5fe82af9eb85      23       0    YES 2026-08-14
claude/salla-activation                                    7590ce73ad46f4e0730ce8826a7fbb0d0b318cf4      22      15     no 2026-08-11
claude/web-rc-cto009                                       da11034dca8ab9b15ec61bde5bc9af7a76367f45      20      15     no 2026-08-10
audit/web-sovereign-final                                  42e44b2bc1c83434fe360d7aaae223d15b8ee2cf      19       0    YES 2026-08-15
fix/qa-hardening-release-readiness                         3d4360ef1d095d30336519de52b0b2ad18d083ab      18      63     no 2026-06-27
feature/mobile-qa-product-polish                           3d4360ef1d095d30336519de52b0b2ad18d083ab      18      63     no 2026-06-27
hotfix/replace-bad-muscle-map                              68aec8c8497cb98e9086882cf10906c1e7c07dcb      17      63     no 2026-06-27
fix/product-foundation-auth-bb-ui                          bd4d82318bf3fde6a2321cac45c422029e8ee9ed      17      63     no 2026-06-27
codex/qimmah-web-sovereign-001                             d83add22e904819c7d7fdc27890c757cd5dbaa5c      17       0    YES 2026-08-14
claude/web-sovereign-final-recovery-o8alub                 d83add22e904819c7d7fdc27890c757cd5dbaa5c      17       0    YES 2026-08-14
claude/access-entitlements                                 df85c77006b5e132cd78649af39cd550331976c7      17      15     no 2026-08-09
claude/qae-architecture-design-fhg2mh                      3da81624aac531ee9cf480fbbbcff045067f93af      16      15     no 2026-08-09
feature/workout-library-exercise-detail                    3ea1fe66e49dd6e1c9ac47cd6d98b7c79c16ee09       9      63     no 2026-06-27
feature/nutrition-progress-health-mobile                   dd785f9e32ce80a094d1c93e17e0fb2d62216906       9      63     no 2026-06-27
feature/mobile-app-shell-design                            725bf0a5845636f43419ab2ff4705db59c0276a8       9      63     no 2026-06-27
fix/workout-history-dashboard-binding                      85858138317199e89939234f5f342aff3581afe4       8      63     no 2026-06-27
fix/nutrition-inputs-validation                            14ca3c7afdbdf474f64c0a706e5ae9a388a68e63       8      63     no 2026-06-27
fix/foundation-auth-app-shell                              7195445254ceafee3c24618a68ac861cbe1a14f7       8      63     no 2026-06-27
fix/bodybuilding-ui-muscle-coverage                        3195935de0bfd56083d722df2754c428acd66de0       8      63     no 2026-06-27
feature/mobile-plan-builder                                156a6bae749c9e3f3f402f6bcd1ea9754b575571       7      63     no 2026-06-27
claude/founder-ux-access-gate-0rn49k                       af5274b2f8558079b43ad1d2dc2676b03db23d2b       6       0    YES 2026-08-12
claude/control-files-tier1-verify-yyxg50                   64fca13b0ce89eedb0a57046c4d94bb2360612a5       2       0     no 2026-08-18
ci/artifact-quota-nonblocking                              9e679c37b200f082501cb6eabcf286f7cae5c9cf       1       3     no 2026-08-11
main                                                       cc60adfc0da0f893b101230269d4847d33490429       0       0    YES 2026-08-11
fix/asset-404-hardening                                    67f21b136b3241fc2a6b7bce8cc0c10577dafaa0       0       1    YES 2026-08-11
codex/qimmah-web-integration                               672302d44f1f017520c73616e0a2aba4dc86e9df       0       5    YES 2026-08-11
