BRANCH|SHA|CONTAINED_IN_REC|PATCH_UNIQUE|CLASS
feature/v2-nutrition-live-engine|c097520a7e0ab6624ee450e6767a50f29b0a193b|no|20|UNIQUE_PENDING
feature/v2-product-cleanup-settings|25c52b4e8f3800413552e33daa36b9f229fdd639|no|20|UNIQUE_PENDING
feature/v2-training-plan-engine|a3d3e4b925995faa270887ebef12b87e95b2dd78|no|20|UNIQUE_PENDING
feature/v2-workout-persistence-streak|83384dc7241913d8f8433f3e16a2f1bc83eb33f6|no|20|UNIQUE_PENDING
feature/workout-library-exercise-detail|3ea1fe66e49dd6e1c9ac47cd6d98b7c79c16ee09|no|9|UNIQUE_PENDING
fix/asset-404-hardening|67f21b136b3241fc2a6b7bce8cc0c10577dafaa0|YES|0|ABSORBED
fix/bodybuilding-ui-muscle-coverage|3195935de0bfd56083d722df2754c428acd66de0|no|8|UNIQUE_PENDING
fix/design-fidelity-v21|a6415dfa3832c17b791f952a30a0ec5a2ba3ee2d|no|340|UNIQUE_PENDING
fix/foundation-auth-app-shell|7195445254ceafee3c24618a68ac861cbe1a14f7|no|8|UNIQUE_PENDING
fix/founder-qa-round1|a6415dfa3832c17b791f952a30a0ec5a2ba3ee2d|no|340|UNIQUE_PENDING
fix/nutrition-inputs-validation|14ca3c7afdbdf474f64c0a706e5ae9a388a68e63|no|8|UNIQUE_PENDING
fix/product-foundation-auth-bb-ui|bd4d82318bf3fde6a2321cac45c422029e8ee9ed|no|12|UNIQUE_PENDING
fix/qa-hardening-release-readiness|3d4360ef1d095d30336519de52b0b2ad18d083ab|no|13|UNIQUE_PENDING
fix/workout-history-dashboard-binding|85858138317199e89939234f5f342aff3581afe4|no|8|UNIQUE_PENDING
hotfix/p12-field-fixes-r2|4e17c67b49e4c94ffd6bfd982374023730c18d09|no|151|UNIQUE_PENDING
hotfix/replace-bad-muscle-map|68aec8c8497cb98e9086882cf10906c1e7c07dcb|no|12|UNIQUE_PENDING
main|cc60adfc0da0f893b101230269d4847d33490429|YES|0|ABSORBED
merge/release-rc-into-trunk|bdc0cef8a652aa29ec41a9828e65f017c2a25c96|no|377|UNIQUE_PENDING
research/v2-exercise-data-audit|98db8f749551d6ff52cdc6de29304df869a4fed0|no|21|UNIQUE_PENDING
research/v2-nutrition-data-audit|7fa79cceee7d93d8d1c2b646fec3a10f5910b675|no|20|UNIQUE_PENDING
research/v2-post-merge-bug-hunt|b13695aa2c224ba48cd9018502585b2af776d3e7|no|21|UNIQUE_PENDING
research/v2-product-qa-checklist|58d73fab4847e65e01ab2cbb560f92b1e48f0897|no|21|UNIQUE_PENDING
research/v2-user-testing-script|01678f619d6179b4c31df8b75fe8b8c1dcb60130|no|21|UNIQUE_PENDING
s/catalog-jointloads|a47b4760765cc906cf31b69f5055077e2c025b87|YES|0|ABSORBED
s/food-search|702bcdaff9d63c26d6631244523a1f0a31d7b0e8|YES|0|ABSORBED
